Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2024,"Slade Cecconi","ARI",0.3206751054852321,0.694214876,0.18,0.336,0.484,0.115702479,0.132231404,35,4.09090934424644,437,857,1294,0.35573123,0.34387352,0.30039526,0.16205534,0.50592885,0.33201581,"Slade Cecconi",27500,677944
2022,"Robbie Ray","SEA",0.28354978354978355,0.936893203,0.18902439,0.392276422,0.418699186,0.106796116,0.155339805,70,3.3333333333333335,1083,1964,3047,0.4291498,0.32793522,0.24291498,0.15789474,0.51012146,0.33198381,"Robbie Ray",11486,592662
2021,"Rich Hill","- - -",0.27684964200477324,0.812834224,0.215277777,0.351851851,0.43287037,0.096256684,0.112299465,87,4.934874147321963,833,1663,2496,0.44090909,0.36818182,0.19090909,0.14090909,0.52727273,0.33181818,"Rich Hill",4806,448179
2024,"Shawn Armstrong","- - -",0.3622448979591837,0.911392405,0.248756218,0.358208955,0.393034825,0.151898734,0.075949367,34,4.590000503397043,359,752,1111,0.30693069,0.38118812,0.31188119,0.18316832,0.48514851,0.33168317,"Shawn Armstrong",12857,542888
2021,"Cole Irvin","OAK",0.3022847100175747,0.99099099,0.244444444,0.376068376,0.379487179,0.09009009,0.103603603,107,5.40000015401395,861,1821,2682,0.34517766,0.3857868,0.26903553,0.15397631,0.5143824,0.33164129,"Cole Irvin",19244,608344
2024,"Kevin Ginkel","ARI",0.33157894736842103,1.231884057,0.206185567,0.438144329,0.355670103,0.057971014,0.086956521,45,5.785715546900187,425,760,1185,0.39285714,0.34183673,0.26530612,0.1122449,0.55612245,0.33163265,"Kevin Ginkel",19876,656464
2023,"Brock Burke","TEX",0.29310344827586204,0.959459459,0.211956521,0.385869565,0.402173913,0.081081081,0.175675675,48,7.240224698067726,276,638,914,0.3315508,0.36898396,0.29946524,0.12299465,0.54545455,0.3315508,"Brock Burke",17968,656271
2021,"Daniel Bard","COL",0.35260115606936415,1.357142857,0.262569832,0.424581005,0.312849162,0.160714285,0.142857142,27,3.700507757526059,448,769,1217,0.44751381,0.30939227,0.24309392,0.16022099,0.50828729,0.33149171,"Daniel Bard",7115,453268
2021,"Jarlín García","SFG",0.22674418604651161,1.09090909,0.224719101,0.404494382,0.370786516,0.06060606,0.136363636,32,4.194175378621722,326,676,1002,0.41436464,0.32596685,0.25966851,0.13812155,0.53038674,0.33149171,"Jarlin Garcia",18282,606424
2024,"James McArthur","KCR",0.3468208092485549,2,0.2,0.533333333,0.266666666,0.083333333,0.166666666,15,2.382353208469302,307,597,904,0.44751381,0.38121547,0.17127072,0.13812155,0.53038674,0.33149171,"James McArthur",21527,663704
2024,"Mitch Keller","PIT",0.3063583815028902,1.07070707,0.237918215,0.394052044,0.368029739,0.08080808,0.116161616,96,4.853932584269663,962,1890,2852,0.37592593,0.33888889,0.28518519,0.13518519,0.53333333,0.33148148,"Mitch Keller",17594,656605
2022,"Aaron Loup","LAA",0.28735632183908044,1.775510204,0.222857142,0.497142857,0.28,0.020408163,0.081632653,21,3.22159188665664,337,630,967,0.40449438,0.30898876,0.28651685,0.16853933,0.5,0.33146067,"Aaron Loup",10343,571901
2024,"David Festa","MIN",0.3192771084337349,0.9,0.235632183,0.362068965,0.40229885,0.114285714,0.128571428,24,3.357512969958414,386,713,1099,0.45142857,0.32,0.22857143,0.16571429,0.50285714,0.33142857,"David Festa",30056,701581
2021,"Dean Kremer","BAL",0.2967741935483871,0.597701149,0.187134502,0.304093567,0.508771929,0.16091954,0.195402298,31,5.198758010331527,387,599,986,0.33139535,0.38372093,0.28488372,0.14534884,0.52325581,0.33139535,"Dean Kremer",19350,665152
2024,"Chris Bassitt","TOR",0.3333333333333333,1.13559322,0.242484969,0.402805611,0.354709418,0.124293785,0.101694915,88,4.631578947368421,1086,1882,2968,0.36507937,0.36507937,0.26984127,0.1765873,0.49206349,0.33134921,"Chris Bassitt",12304,605135
