Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2023,"Brock Burke","TEX",59.2,0.32727273,0.73724008,0.56455142,0.70634921,0.83333333,0.80232558,0.57877462,18.67220544,"Brock Burke",17968,656271
2023,"Carlos Hernández","KCR",70,0.30031949,0.73089172,0.51594896,0.53723404,0.80392157,0.72642968,0.50079745,18.67197452,"Carlos Hernandez",22713,672578
2024,"José Buttó","NYM",74,0.29795918,0.64271047,0.43535188,0.47031963,0.8658147,0.70300752,0.398527,18.67136659,"Jose Butto",23313,676130
2024,"Spencer Arrighetti","HOU",145,0.26315789,0.64858841,0.47025948,0.45901639,0.8373425,0.73938879,0.53732535,18.66648736,"Spencer Arrighetti",29921,681293
2024,"Ryan Burr","TOR",32.2,0.35294118,0.68181818,0.50526316,0.39814815,0.87222222,0.69444444,0.46315789,18.66042155,"Ryan Burr",17536,621114
2024,"Griffin Jax","MIN",71,0.3653484,0.67411546,0.52059925,0.39690722,0.77624309,0.64388489,0.50280899,18.65692503,"Griffin Jax",20253,643377
2023,"Spencer Strider","ATL",186.2,0.36466667,0.684375,0.52967742,0.38939671,0.76712329,0.64129111,0.51612903,18.65226782,"Spencer Strider",27498,675911
2024,"Clarke Schmidt","NYY",85.1,0.2578019,0.62900976,0.44085282,0.52631579,0.80709534,0.72386895,0.49312242,18.64899452,"Clarke Schmidt",19899,657376
2023,"Seranthony Domínguez","PHI",50,0.2817552,0.72535211,0.50174622,0.60655738,0.79288026,0.74013921,0.49592549,18.64770932,"Seranthony Dominguez",19249,622554
2024,"Ryne Nelson","ARI",150.2,0.29268293,0.69626866,0.51745636,0.70512821,0.88210075,0.837751,0.55694098,18.64672686,"Ryne Nelson",26253,669194
2024,"Cody Bradford","TEX",76.1,0.31343284,0.63693271,0.4893617,0.64880952,0.85257985,0.79304348,0.54382979,18.64343786,"Cody Bradford",27597,674003
2024,"A.J. Puk","- - -",71.1,0.31751825,0.6416,0.49019608,0.48850575,0.80049875,0.70608696,0.53282182,18.63043478,"A.J. Puk",19343,640462
2023,"Nathan Eovaldi","TEX",144,0.29973936,0.66419981,0.47625448,0.56231884,0.85097493,0.75729069,0.484319,18.62794918,"Nathan Eovaldi",9132,543135
2024,"Sam Long","KCR",42.2,0.27653631,0.67151163,0.47008547,0.53535354,0.83549784,0.74545455,0.49002849,18.62618596,"Sam Long",25379,669674
2024,"Pedro Avila","- - -",82.2,0.26630435,0.67789165,0.46441156,0.53061224,0.88336933,0.7784522,0.48132488,18.62546816,"Pedro Avila",18864,658648
2024,"Dylan Cease","SDP",189.1,0.31109799,0.67202142,0.48023839,0.47248577,0.80876494,0.6930111,0.46863237,18.62505167,"Dylan Cease",18525,656302
2023,"Chase Silseth","LAA",52.1,0.27826087,0.60280374,0.43468468,0.5703125,0.8255814,0.74093264,0.48198198,18.6163142,"Chase Silseth",30074,681217
2024,"Bobby Miller","LAD",56,0.23977695,0.68737864,0.45868946,0.6124031,0.84180791,0.7805383,0.48907882,18.61083123,"Bobby Miller",27483,676272
2024,"Grant Holmes","ATL",68.1,0.37546468,0.71399177,0.53613281,0.43069307,0.84726225,0.69398907,0.47460938,18.60728745,"Grant Holmes",16944,656550
2024,"Yoshinobu Yamamoto","LAD",90,0.32127352,0.62596401,0.48264125,0.51351351,0.85831622,0.75035261,0.52961198,18.6061706,"Yoshinobu Yamamoto",33825,808967
2024,"José Suarez","LAA",52.1,0.29001883,0.64692982,0.45491388,0.53896104,0.84745763,0.74164811,0.46200608,18.60565276,"Jose Suarez",19911,660761
2023,"Joe Jiménez","ATL",56.1,0.32470588,0.66144814,0.50854701,0.47101449,0.79881657,0.70378151,0.54594017,18.60143885,"Joe Jimenez",15761,641729
2023,"Buck Farmer","CIN",75,0.30524642,0.63237774,0.46399345,0.55729167,0.792,0.71252205,0.48527005,18.6004415,"Buck Farmer",14814,571656
2024,"Anthony Banda","LAD",49.2,0.33246753,0.70126582,0.51923077,0.4609375,0.83754513,0.71851852,0.50641026,18.59059233,"Anthony Banda",14706,607455
2023,"Evan Phillips","LAD",61.1,0.28,0.63877551,0.47213115,0.46218487,0.84025559,0.73611111,0.53551913,18.58797654,"Evan Phillips",17734,623465
2023,"Nate Pearson","TOR",42.2,0.21126761,0.63612565,0.43147897,0.46666667,0.84773663,0.75786164,0.5183175,18.58707361,"Nate Pearson",20160,663878
2023,"Ryan Feltner","COL",43.1,0.23646724,0.60941176,0.44072165,0.63855422,0.86486486,0.80994152,0.54768041,18.58275862,"Ryan Feltner",21446,663372
2024,"Zac Gallen","ARI",148,0.30811936,0.62299717,0.44164668,0.55630631,0.89863843,0.76108597,0.42406075,18.57950907,"Zac Gallen",19291,668678
2024,"Kenta Maeda","DET",112.1,0.31237721,0.64179104,0.47034765,0.60377358,0.86877076,0.77717391,0.4795501,18.57844475,"Kenta Maeda",18498,628317
2024,"Angel Zerpa","KCR",53.2,0.18858561,0.59459459,0.42379958,0.61842105,0.91212121,0.85714286,0.57933194,18.57122905,"Angel Zerpa",22717,672582
2024,"Martín Pérez","- - -",135,0.26360225,0.63884007,0.45735027,0.65480427,0.86795048,0.80853175,0.51633394,18.57036115,"Martin Perez",6902,527048
2024,"Chris Stratton","KCR",58.1,0.23647295,0.62096774,0.4281407,0.63559322,0.88636364,0.81690141,0.49849246,18.56811989,"Chris Stratton",13761,608717
2023,"Kyle Hendricks","CHC",137,0.32230624,0.60952381,0.46537002,0.64809384,0.8828125,0.80122324,0.49810247,18.56413613,"Kyle Hendricks",12049,543294
2023,"Keynan Middleton","- - -",50.2,0.32159624,0.70930233,0.51635514,0.42335766,0.77704918,0.66742081,0.50233645,18.55451713,"Keynan Middleton",15264,641871
2024,"Zack Wheeler","PHI",200,0.32580424,0.6831746,0.51119895,0.58193277,0.82063197,0.74742268,0.5187747,18.55427559,"Zack Wheeler",10310,554430
2023,"Josh Hader","SDP",56.1,0.34567901,0.67789474,0.49712092,0.54591837,0.77018634,0.68532819,0.45585413,18.55185185,"Josh Hader",14212,623352
2023,"Seth Martinez","HOU",43,0.256,0.6529563,0.45811518,0.54166667,0.84251969,0.76,0.5091623,18.54673721,"Seth Martinez",21045,661527
2023,"Victor González","LAD",33.2,0.27692308,0.64,0.45490196,0.54166667,0.8,0.71982759,0.49019608,18.54521277,"Victor Gonzalez",16408,624647
2024,"Gavin Williams","CLE",76,0.30735294,0.67151163,0.49049708,0.64593301,0.85281385,0.78837556,0.50292398,18.5411423,"Gavin Williams",30122,668909
2023,"Logan Gilbert","SEA",190.2,0.31392778,0.70031949,0.52087611,0.54694836,0.85218978,0.76675427,0.53559206,18.5349162,"Logan Gilbert",22250,669302
2022,"Sam Long","SFG",42.1,0.23255814,0.66329114,0.46278755,0.575,0.8129771,0.75730994,0.53450609,18.52972973,"Sam Long",25379,669674
2024,"Reynaldo López","ATL",135.2,0.30563798,0.65969063,0.49004739,0.51132686,0.85241379,0.75048356,0.52085308,18.51497769,"Reynaldo Lopez",16400,625643
2023,"Yonny Chirinos","- - -",85,0.27118644,0.68831169,0.48658718,0.6875,0.89308176,0.83767228,0.51639344,18.51237113,"Yonny Chirinos",16401,630023
2024,"Charlie Morton","ATL",165.1,0.2884753,0.6348637,0.46148334,0.51612903,0.86101695,0.75310559,0.49946256,18.50527831,"Charlie Morton",4676,450203
2023,"Alexis Díaz","CIN",67.1,0.28913738,0.67164179,0.46557659,0.50828729,0.76666667,0.68022181,0.46127367,18.50520231,"Alexis Diaz",21132,664747
2023,"Alex Lange","DET",66,0.32644628,0.5547619,0.41012216,0.40084388,0.84978541,0.62340426,0.36649215,18.50468384,"Alex Lange",19883,656638
2023,"Kevin Ginkel","ARI",65.1,0.31746032,0.64154786,0.46786389,0.44444444,0.87619048,0.71919192,0.46408318,18.50315259,"Kevin Ginkel",19876,656464
2023,"Zach Davies","ARI",82.1,0.23536737,0.59510086,0.40213761,0.59259259,0.88861985,0.79568106,0.46359385,18.50313339,"Zach Davies",13183,605200
2024,"Colin Poche","TBR",37.1,0.25704225,0.71814672,0.47697974,0.63013699,0.87634409,0.80694981,0.47697974,18.49489796,"Colin Poche",19403,621363
2024,"Alec Marsh","KCR",129,0.2763285,0.65630551,0.47431745,0.53846154,0.88633288,0.78926829,0.52105507,18.49188514,"Alec Marsh",27451,679525
2024,"Brock Burke","- - -",34,0.30120482,0.69631902,0.52521739,0.6,0.7753304,0.73178808,0.56695652,18.49168646,"Brock Burke",17968,656271
2024,"Dean Kremer","BAL",129.2,0.27255639,0.6395664,0.45969599,0.63103448,0.86299435,0.79559118,0.50990327,18.49098819,"Dean Kremer",19350,665152
2024,"Yonny Chirinos","MIA",30,0.28333333,0.62909091,0.46796117,0.64705882,0.86705202,0.80497925,0.53398058,18.48509485,"Yonny Chirinos",16401,630023
2024,"Joe Mantiply","ARI",59.2,0.38657407,0.66206897,0.52479815,0.61676647,0.81597222,0.74285714,0.5017301,18.47376789,"Joe Mantiply",14857,573009
2024,"Victor Vodnik","COL",73.2,0.22492401,0.64635958,0.43801653,0.66891892,0.85057471,0.80445969,0.50563486,18.47310757,"Victor Vodnik",24614,680767
2023,"Johan Oviedo","PIT",177.2,0.26034713,0.67004049,0.46409396,0.49230769,0.86404834,0.75921909,0.49731544,18.47104423,"Johan Oviedo",22487,670912
2024,"Michael Kopech","- - -",67.2,0.32379249,0.60616438,0.46806649,0.55248619,0.75423729,0.68598131,0.51093613,18.47058824,"Michael Kopech",17282,656629
2023,"Trent Thornton","- - -",31.1,0.29807692,0.624,0.47598253,0.66129032,0.8525641,0.79816514,0.54585153,18.46686747,"Trent Thornton",17948,663423
2023,"Sam Long","OAK",45,0.29715762,0.66323907,0.4806701,0.71304348,0.89147287,0.83646113,0.50128866,18.46620451,"Sam Long",25379,669674
2023,"Tyler Rogers","SFG",74,0.26666667,0.69254658,0.51067616,0.71875,0.81165919,0.79094077,0.57295374,18.46600742,"Tyler Rogers",15541,643511
2023,"Joe Mantiply","ARI",39,0.34701493,0.63036304,0.49737303,0.70967742,0.82198953,0.78521127,0.53064799,18.46097561,"Joe Mantiply",14857,573009
2024,"Paul Skenes","PIT",133,0.31047992,0.66938406,0.49694118,0.49842271,0.83491204,0.73390152,0.51952941,18.4547723,"Paul Skenes",33677,694973
2024,"Ryan Feltner","COL",162.1,0.25846408,0.6752388,0.47900467,0.57827476,0.84983678,0.78084416,0.52916019,18.45289079,"Ryan Feltner",21446,663372
2023,"Michael Grove","LAD",69,0.32258065,0.65646259,0.4938918,0.48333333,0.8626943,0.74204947,0.51308901,18.45238095,"Michael Grove",23221,675627
2024,"Tyler Phillips","PHI",36.2,0.34146341,0.70446735,0.52422145,0.6122449,0.88780488,0.79867987,0.50346021,18.45083933,"Tyler Phillips",20629,663969
2023,"Andrew Abbott","CIN",109.1,0.28194298,0.64526316,0.46389035,0.5917603,0.84013051,0.76477273,0.50079072,18.45059566,"Andrew Abbott",29911,671096
2023,"Jose Cuas","- - -",65.1,0.26710098,0.65124555,0.45068027,0.51219512,0.80601093,0.71509434,0.47789116,18.4478458,"Jose Cuas",17701,621016
2024,"Cade Povich","BAL",79.2,0.26380368,0.65671642,0.47228222,0.61046512,0.85123967,0.78810976,0.53059755,18.44606414,"Cade Povich",30055,700249
2024,"JoJo Romero","STL",59,0.26651982,0.59354839,0.43199129,0.47933884,0.88405797,0.76070529,0.50598477,18.44560358,"JoJo Romero",19574,668941
