Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Andrew Miller","STL",36,5.3197075872137995,,,,,9.575985666048728,-6.770753779613466,,,,,,,"Andrew Miller",6785,453192
2021,"Johnny Cueto","SFG",114.2,-7.377187938294,,-3.0353883545974205,,,-10.18584193069091,0.22590837759130142,1.7419246550529235,1.0785759687423706,,-7.360620103440843,,,"Johnny Cueto",6893,456501
2021,"Chase Anderson","PHI",48,-3.8066677638462614,,1.8241878360896915,,,-7.397058882803287,2.0181661683159904,3.09581944849584,,,-9.72414176302602,,,"Chase Anderson",6895,502624
2021,"Martín Pérez","BOS",114,6.798000759548611,,0.7880837617097077,,,9.930802920733942,,-2.473480346096549,,,8.753449095326358,,,"Martin Perez",6902,527048
2021,"Joakim Soria","- - -",37.1,-3.5027569529073816,,,,,-8.193794012069702,7.694075000378513,6.7626219529372,,,-6.7779184977213545,,,"Joakim Soria",6941,465657
2021,"Luis García","STL",33.1,-5.708118438720703,,,-4.19957513324285,,-8.811239026256443,1.7521413167317708,,,,,,,"Luis Garcia",6984,472610
2021,"Ian Kennedy","- - -",56.1,-6.709208773795485,,0.9541966698386453,-9.092427444458007,,,3.45165319028108,,4.754659735638162,,-8.498616960313585,,,"Ian Kennedy",6986,453178
2021,"Ryan Pressly","HOU",64,-0.6695016527932788,,,,,-7.167670249938965,2.403733459829587,8.071868635650373,,,,,,"Ryan Pressly",7005,519151
2021,"Daniel Bard","COL",65.2,-5.920791739004629,,,,,-8.834407725232714,4.569709329044118,,,,-9.518495589967758,,,"Daniel Bard",7115,453268
2021,"Daniel Hudson","- - -",51.2,-6.735974741790254,,,,,-11.469940185546875,0.3147123712133691,,,,-10.881907145182291,,,"Daniel Hudson",7146,543339
2021,"Greg Holland","KCR",55.2,-0.0794292326590315,,,,,,2.7567989618451763,2.5029188848174777,,,,,,"Greg Holland",7196,518813
2021,"Craig Stammen","SDP",88.1,-2.9985506534576416,,-0.6901713588781524,,,-8.401955789777288,5.571567058563232,,3.8102051615715027,,-8.419407367706299,,,"Craig Stammen",7274,489334
2021,"J.A. Happ","- - -",152.1,5.022652762276786,,,,,8.267111780275503,-0.7762239612361633,-2.177647310144761,,,8.269212805706522,,,"J.A. Happ",7410,457918
2021,"Wade Davis","KCR",42.2,-2.2334415558845766,,2.290014251460874,,,-6.590231323242188,,,3.1309650749560225,,-5.599076588948567,,,"Wade Davis",7441,451584
2021,"Collin McHugh","TBR",64,-5.552088710239955,,0.9357639454906772,,,,9.977700675044078,7.324482781546457,7.194333076477051,,-6.148785591125488,,,"Collin McHugh",7531,543521
2021,"Jake McGee","SFG",59.2,7.170632382861884,,,,,,-0.6340158396753771,,,,,,,"Jake McGee",7550,459429
2021,"Jordan Lyles","TEX",180,-4.299485036771592,,2.845747407660427,,,-7.74485254999417,5.356476622742492,3.6775346210011763,,,-7.952910378714588,,,"Jordan Lyles",7593,543475
2021,"Wily Peralta","DET",93.2,-4.456248548841968,,,-6.0357533482142856,,-6.875180502690232,0.32019068356549707,,,,,,,"Wily Peralta",7738,503449
