Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2021,"Ralph Garza Jr.","- - -",30.1,92.2108685037364,,89.79761759440105,,,90.30486382378473,76.6750009897593,79.02777777777777,,,83.85122308498475,,,"Ralph Garza Jr.",17682,621248
2021,"Nabil Crismatt","SDP",81.1,90.11263736263736,,,,,89.62563852163461,84.69999694824219,71.46698288690476,,,82.26803147810219,,,"Nabil Crismatt",17732,622503
2021,"Tyler Alexander","DET",106.1,90.50165047133264,,86.11308790373322,,,90.2402881567029,82.15160975302419,74.80000305175781,,,83.65979936669436,,,"Tyler Alexander",17735,641302
2021,"Drew Smith","NYM",41.1,94.95993937302839,,87.831581160339,,,94.93461344792293,88.1590909090909,77.39999688189963,,,85.10000174386161,,,"Drew Smith",17755,622098
2021,"José Alvarado","PHI",55.2,98.32727420691288,,94.11470588235294,,,99.37385765179678,,87.18000139508929,,,,,,"Jose Alvarado",17780,621237
2021,"Jake Brentz","KCR",64,96.91643653100775,,,,,97.0499979654948,85.16233766233766,,,,90.980712890625,,,"Jake Brentz",17783,641394
2021,"Dillon Tate","BAL",67.2,95.37647202435662,,85.96541341145833,,,95.49983458876221,80.66666666666667,,,,85.35817945075758,,,"Dillon Tate",17796,622253
2021,"Adbert Alzolay","CHC",125.2,94.00944417317709,,90.20393816129429,,,93.76306660970052,86.15679587339744,79.990478515625,,,85.56470444623162,,,"Adbert Alzolay",17859,640470
2021,"Nestor Cortes","NYY",93,90.73087677611367,,85.37989099598464,,,90.13333081442212,77.44084935406454,,,,82.9438342786815,,,"Nestor Cortes",17874,641482
2021,"Dennis Santana","- - -",54.2,96.02222414369936,,88.125,,,95.28151194254558,83.815562682393,81.88261081861413,,,87.48770157921123,,,"Dennis Santana",17878,642701
2021,"Cody Ponce","PIT",38.1,93.17373441445707,,89.36343429337687,,,92.7000020345052,83.95391965379902,79.48813435182733,,,86.18448296908674,,,"Cody Ponce",17920,664074
2021,"Trent Thornton","TOR",49,93.86722956942972,,89.95235934432264,,,93.03333536783855,84.64729597761824,80.23008741530697,72.94999694824219,,84.32631214878015,,,"Trent Thornton",17948,663423
2021,"Tyler Gilbert","ARI",40,89.67075062446854,,86.334814453125,80.11052623548005,,89.47272345032354,,,75.52826325789742,,,,,"Tyler Gilbert",17964,656457
2021,"Logan Webb","SFG",148.1,93.15806453019243,,91.17916870117188,,,92.78016354505021,82.43322348827648,,,,86.16877094721886,,,"Logan Webb",17995,657277
