Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2021,"Ryan Pressly","HOU",64,10.076221607349536,,,,,6.533624649047852,2.5948625531112937,-7.413455800113515,,,,,,"Ryan Pressly",7005,519151
2021,"Daniel Bard","COL",65.2,5.708979552469136,,,,,3.3800535810754653,1.5782492462538993,,,,0.7341814192514571,,,"Daniel Bard",7115,453268
2021,"Daniel Hudson","- - -",51.2,9.716130867650953,,,,,9.560050964355469,2.9563059366371736,,,,6.072836081186931,,,"Daniel Hudson",7146,543339
2021,"Greg Holland","KCR",55.2,10.25669625505286,,,,,,1.0026782023956171,-4.470332322922428,,,,,,"Greg Holland",7196,518813
2021,"Craig Stammen","SDP",88.1,7.198824882507324,,6.025498560855263,,,7.376924223922803,-2.4007530212402344,,-6.117189129193624,,6.9590686957041425,,,"Craig Stammen",7274,489334
2021,"J.A. Happ","- - -",152.1,9.961335709951456,,,,,5.15464605287064,2.346170127243913,-2.658814822926241,,,5.471523308605882,,,"J.A. Happ",7410,457918
2021,"Wade Davis","KCR",42.2,10.416195974042338,,3.9799368013211383,,,7.255945434570313,,,-6.375314472526904,,6.4999847412109375,,,"Wade Davis",7441,451584
2021,"Collin McHugh","TBR",64,10.013504028320312,,4.2769927978515625,,,,-0.4143696462133979,-7.587135451180594,-9.103650093078613,,6.866298675537109,,,"Collin McHugh",7531,543521
2021,"Jake McGee","SFG",59.2,9.011581710256005,,,,,,1.5355992810479526,,,,,,,"Jake McGee",7550,459429
2021,"Jordan Lyles","TEX",180,10.555498619602151,,1.1593670270529137,,,7.390491001641572,0.39682623903128666,-8.192928328390016,,,5.602618422463675,,,"Jordan Lyles",7593,543475
2021,"Wily Peralta","DET",93.2,9.386218316776237,,,4.181864188058036,,8.386058368154172,0.7061479180965369,,,,,,,"Wily Peralta",7738,503449
2021,"Richard Bleier","MIA",58,5.890215131971571,,3.3013497598516115,,,2.2537543852747333,-0.5283812589423601,,,,3.797141604953342,,,"Richard Bleier",7803,542947
2021,"Hunter Strickland","- - -",58.2,8.271952149408238,,,,,5.392549590060585,0.09069618225097656,,,,6.18338748386928,,,"Hunter Strickland",7836,519326
2021,"Anthony Bass","MIA",61.1,9.907258517121615,,,7.083446025848389,,8.489757380091158,-1.3587885022412263,,,,,,,"Anthony Bass",7982,542914
2021,"Will Smith","ATL",68,10.380994370404412,,,,,,2.312227394548767,-4.047668705141641,,,,,,"Will Smith",8048,519293
2021,"Bryan Shaw","CLE",77.1,5.633189610072544,,3.9165075706496246,,,7.276950836181641,0.3986741916553394,-7.791173690404648,,,3.5584916739628234,,,"Bryan Shaw",8110,543766
