"MLBAMID","PlayerId","Name","Team","Age","Season","TBF","K%","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","NameASCII","Balls","Strikes","Pitches","strike_pct","ball_pct","FA%","FT%","FC%","FS%","FO%","SI%","SL%","CU%","KC%","EP%","CH%","SC%","KN%","UN%","vFA","vFT","vFC","vFS","vFO","vSI","vSL","vCU","vKC","vEP","vCH","vSC","vKN","FA-X","FT-X","FC-X","FS-X","FO-X","SI-X","SL-X","CU-X","KC-X","EP-X","CH-X","SC-X","KN-X","FA-Z","FT-Z","FC-Z","FS-Z","FO-Z","SI-Z","SL-Z","CU-Z","KC-Z","EP-Z","CH-Z","SC-Z","KN-Z","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace"
660896,19459,"Jorge Alcala","MIN",28,2024,235,0.24680851,4,3,3.240000494,54,0,0,0,0,0,15,1,58.1,40,23,21,8,20,1,3,4,0,58,"Jorge Alcala",333,601,934,0.643468950749465,0.356531049250535,0.44253491,NA,NA,NA,NA,0.07518797,0.38668099,NA,NA,NA,0.09559613,NA,NA,NA,98.03762136,NA,NA,NA,NA,97.31571568,89.85610894,NA,NA,NA,90.98763935,NA,NA,-6.242190463,NA,NA,NA,NA,-9.218996756,1.31472524,NA,NA,NA,-9.588129965,NA,NA,10.48282246,NA,NA,NA,NA,6.996139526,2.930530124,NA,NA,NA,6.966798932,NA,NA,0.24941176,0.68577075,0.48657358,0.55660377,0.79827089,0.74172185,0.54350161,18.0433526
605397,12970,"Joe Musgrove","SDP",31,2024,410,0.24634146,6,5,3.882943243,19,19,10,0,0,0,0,0,99.2,94,44,43,14,23,0,10,0,0,101,"Joe Musgrove",546,1036,1582,0.654867256637168,0.345132743362832,0.24589128,NA,0.20417193,NA,NA,0.04361568,0.20290771,0.22503161,NA,NA,0.0783818,NA,NA,NA,92.95115681,NA,89.73219814,NA,NA,92.61594203,82.16604605,81.55926857,NA,NA,87.08064516,NA,NA,-2.479508819,NA,1.272736068,NA,NA,-5.950112163,8.930814654,6.134391185,NA,NA,-7.589450467,NA,NA,7.359747173,NA,4.392966256,NA,NA,3.650607786,-1.807684497,-8.447947299,NA,NA,2.393086833,NA,NA,0.29036635,0.63313609,0.47345133,0.48130841,0.83738318,0.73564753,0.53413401,18.8020654
593576,11804,"Héctor Neris","- - -",35,2024,260,0.24615385,10,5,4.095505969,62,0,0,0,0,18,7,5,59.1,55,31,27,8,28,2,2,2,4,64,"Hector Neris",359,652,1011,0.644906033630069,0.355093966369931,0.46329365,NA,NA,0.40376984,NA,0.09821429,0.03472222,NA,NA,NA,NA,NA,NA,NA,92.95011062,NA,NA,82.69336657,NA,92.78787879,85.562854,NA,NA,NA,NA,NA,NA,-5.843615644,NA,NA,-5.467141941,NA,-9.200825393,0.85719144,NA,NA,NA,NA,NA,NA,9.861654604,NA,NA,0.2965607186,NA,7.759928385,3.483522851,NA,NA,NA,NA,NA,NA,0.32053743,0.71047228,0.50892857,0.58682635,0.84104046,0.7582846,0.48313492,19.56016043
608723,15047,"Austin Voth","SEA",32,2024,248,0.24596774,2,5,3.688525051,68,0,0,0,0,0,15,2,61,46,31,25,9,18,0,3,0,0,61,"Austin Voth",357,619,976,0.63422131147541,0.36577868852459,0.23716632,NA,0.33778234,NA,NA,NA,0.23613963,0.1889117,NA,NA,NA,NA,NA,NA,93.57661999,NA,88.96444006,NA,NA,NA,80.81347656,75.31521739,NA,NA,NA,NA,NA,-3.705802092,NA,1.119540693,NA,NA,NA,8.053137207,7.946327541,NA,NA,NA,NA,NA,9.673443419,NA,3.448231799,NA,NA,NA,-0.2015463788,-7.356923642,NA,NA,NA,NA,NA,0.31213873,0.67912088,0.4835729,0.45679012,0.83171521,0.70276008,0.46714579,19.13360882
669854,19407,"Ronel Blanco","HOU",30,2024,676,0.24556213,13,6,2.796812834,30,29,14,1,1,0,0,0,167.1,114,56,52,22,68,0,2,3,0,166,"Ronel Blanco",994,1759,2753,0.638939338903015,0.361060661096985,0.38349691,NA,NA,NA,NA,NA,0.30170847,0.09378408,NA,NA,0.22101054,NA,NA,NA,93.44919434,NA,NA,NA,NA,NA,86.37048384,80.12752089,NA,NA,85.1972066,NA,NA,-4.468670387,NA,NA,NA,NA,NA,0.7390054329,5.025128583,NA,NA,-7.920396604,NA,NA,10.86712769,NA,NA,NA,NA,NA,4.650802001,-0.7386230443,NA,NA,3.381147353,NA,NA,0.30521801,0.67085799,0.48491458,0.5058548,0.8401323,0.73313343,0.49145765,16.88485728
573204,10078,"Caleb Thielbar","MIN",37,2024,216,0.24537037,2,4,5.323945521,59,0,0,0,0,3,9,0,47.1,50,33,28,6,24,2,0,2,0,53,"Caleb Thielbar",297,590,887,0.665163472378805,0.334836527621195,0.43404735,NA,NA,NA,NA,NA,0.31792559,0.24802706,NA,NA,NA,NA,NA,NA,93.23688109,NA,NA,NA,NA,NA,81.63652482,74.13954634,NA,NA,NA,NA,NA,2.073855868,NA,NA,NA,NA,NA,-7.361697799,-4.9970803,NA,NA,NA,NA,NA,10.63913225,NA,NA,NA,NA,NA,0.1693252942,-8.88834173,NA,NA,NA,NA,NA,0.28125,0.65605096,0.48027057,0.65811966,0.80906149,0.76760563,0.53100338,18.71791045
523260,9761,"Joe Kelly","LAD",36,2024,143,0.24475524,1,1,4.78125057,35,0,0,0,0,0,13,2,32,31,19,17,4,16,1,5,3,2,35,"Joe Kelly",206,348,554,0.628158844765343,0.371841155234657,0.24637681,NA,NA,NA,NA,0.28985507,0.2173913,NA,0.17753623,NA,0.06884058,NA,NA,NA,98.06764849,NA,NA,NA,NA,98.20687256,90.13583171,NA,87.3132673,NA,88.38947497,NA,NA,-6.965537576,NA,NA,NA,NA,-10.1012619,4.872077942,NA,3.77651853,NA,-10.89158309,NA,NA,7.606951545,NA,NA,NA,NA,3.780662155,-0.3015135129,NA,-6.430682124,NA,2.605959842,NA,NA,0.24427481,0.65517241,0.46014493,0.515625,0.88947368,0.79527559,0.52536232,20.50855746
657097,19274,"Jacob Webb","BAL",30,2024,237,0.24472574,2,5,3.017647804,60,0,0,0,0,2,14,1,56.2,40,23,19,4,27,1,1,0,0,58,"Jacob Webb",331,603,934,0.645610278372591,0.354389721627409,0.44432548,NA,NA,NA,NA,NA,0.28051392,NA,NA,NA,0.2751606,NA,NA,NA,93.45228727,NA,NA,NA,NA,NA,82.77480916,NA,NA,NA,84.29883572,NA,NA,-6.377563771,NA,NA,NA,NA,NA,6.638793479,NA,NA,NA,-11.07916901,NA,NA,9.413479504,NA,NA,NA,NA,NA,-0.7442004954,NA,NA,NA,5.606123275,NA,NA,0.29705215,0.6693712,0.49357602,0.61832061,0.81212121,0.75704989,0.52783726,17.93063584
689225,26079,"Beau Brieske","DET",26,2024,282,0.24468085,4,5,3.591133545,46,12,0,0,0,1,6,1,67.2,55,31,27,5,30,2,2,0,0,69,"Beau Brieske",420,733,1153,0.6357328707719,0.364267129228101,0.40364583,NA,NA,NA,NA,0.15885417,0.17274306,NA,NA,NA,0.26475694,NA,NA,NA,95.86365507,NA,NA,NA,NA,95.53606611,86.14924476,NA,NA,NA,88.35311539,NA,NA,-3.730303627,NA,NA,NA,NA,-7.723283945,1.295101798,NA,NA,NA,-8.854100162,NA,NA,10.63561828,NA,NA,NA,NA,8.927610804,0.5638077559,NA,NA,NA,3.973503438,NA,NA,0.30377668,0.68876611,0.48524306,0.66486486,0.8315508,0.7763864,0.47135417,20.16782407
661403,21032,"Emmanuel Clase","CLE",26,2024,270,0.24444444,4,2,0.6053811452,74,0,0,0,0,47,0,3,74.1,39,10,5,2,10,1,2,2,0,66,"Emmanuel Clase",282,702,984,0.713414634146341,0.286585365853659,0.01220753,NA,0.77822991,NA,NA,0.00406918,0.20549339,NA,NA,NA,NA,NA,NA,NA,99.79999797,NA,99.51333742,NA,NA,100.7249985,91.02970297,NA,NA,NA,NA,NA,NA,-3.318975766,NA,1.701846214,NA,NA,-5.721106529,3.720539962,NA,NA,NA,NA,NA,NA,8.109348297,NA,6.965256076,NA,NA,7.522793293,1.657681154,NA,NA,NA,NA,NA,NA,0.35514019,0.72252252,0.56256358,0.51973684,0.8478803,0.75768535,0.56459817,17.94092827
